epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,20080.7,0.71709,1.15708,1.10045,0.33985,0.93313,0.39667,0.33884,0.70333,1.10902,1.14929,0.000424556,0.000424556,0.000424556
73,20359.4,0.70319,1.14374,1.095,0.33495,0.89366,0.39165,0.34117,0.67673,1.10945,1.12036,0.000410409,0.000410409,0.000410409
74,20638.2,0.70109,1.11938,1.09362,0.33038,0.8318,0.36244,0.31467,0.66447,1.08921,1.11754,0.000396262,0.000396262,0.000396262
75,20916.7,0.69303,1.13211,1.0931,0.33245,0.89829,0.36258,0.30843,0.68633,1.09847,1.14068,0.000382115,0.000382115,0.000382115
76,21195.8,0.68389,1.09794,1.07373,0.3305,0.89057,0.38403,0.33012,0.70542,1.13092,1.16542,0.000367967,0.000367967,0.000367967
77,21474.2,0.68367,1.13064,1.08624,0.33027,0.8952,0.37891,0.32195,0.67301,1.09955,1.13042,0.00035382,0.00035382,0.00035382
78,21752.6,0.6923,1.11444,1.09059,0.32892,0.86216,0.36145,0.30574,0.67415,1.09011,1.13507,0.000339673,0.000339673,0.000339673
79,22032.9,0.66981,1.09435,1.08792,0.33632,0.89613,0.3894,0.3343,0.66933,1.08715,1.1327,0.000325526,0.000325526,0.000325526
80,22311.4,0.65703,1.08173,1.07018,0.34047,0.88749,0.37669,0.32554,0.66073,1.08961,1.12322,0.000311379,0.000311379,0.000311379
81,22589.6,0.65738,1.09694,1.06822,0.34065,0.87348,0.38803,0.33576,0.66753,1.08178,1.12892,0.000297232,0.000297232,0.000297232
82,22867.9,0.65566,1.10021,1.06526,0.34643,0.93782,0.37613,0.32401,0.65054,1.07097,1.10481,0.000283085,0.000283085,0.000283085
83,23146.2,0.65534,1.09821,1.06457,0.34562,0.95118,0.3877,0.33769,0.65583,1.0743,1.12436,0.000268938,0.000268938,0.000268938
84,23424.9,0.64502,1.08372,1.06362,0.33994,0.89366,0.39189,0.34159,0.65583,1.08774,1.11439,0.000254791,0.000254791,0.000254791
85,23703.3,0.61898,1.07584,1.04878,0.343,0.94297,0.38964,0.33595,0.64471,1.08343,1.1118,0.000240644,0.000240644,0.000240644
86,23981.4,0.63411,1.08376,1.05951,0.34632,0.89675,0.4106,0.35322,0.63664,1.06389,1.11208,0.000226497,0.000226497,0.000226497
87,24259.8,0.62519,1.09845,1.05416,0.34066,0.90062,0.36045,0.31327,0.63922,1.07598,1.10965,0.000212349,0.000212349,0.000212349
88,24540.1,0.63766,1.07153,1.06532,0.3411,0.87656,0.40365,0.35172,0.64635,1.06244,1.10691,0.000198202,0.000198202,0.000198202
89,24819.2,0.62283,1.06904,1.05212,0.34131,0.87939,0.38081,0.3306,0.63396,1.08155,1.09712,0.000184055,0.000184055,0.000184055
90,25099.2,0.62367,1.05807,1.05013,0.34729,0.88657,0.37172,0.32233,0.6371,1.08055,1.10551,0.000169908,0.000169908,0.000169908
91,25375.5,0.46822,0.97254,0.95475,0.34132,0.872,0.35927,0.30704,0.64761,1.07971,1.12359,0.000155761,0.000155761,0.000155761
92,25651.6,0.44397,0.93412,0.92782,0.34449,0.82842,0.37962,0.32618,0.65388,1.08949,1.12532,0.000141614,0.000141614,0.000141614
93,25928.7,0.44458,0.91864,0.93648,0.34686,0.85718,0.36231,0.31385,0.63266,1.09622,1.11773,0.000127467,0.000127467,0.000127467
94,26205.1,0.43986,0.92653,0.93396,0.34181,0.86662,0.35761,0.31201,0.63417,1.09593,1.11615,0.00011332,0.00011332,0.00011332
95,26482.4,0.42876,0.99075,0.91714,0.33778,0.85873,0.3514,0.30614,0.63601,1.09004,1.12031,9.91726e-05,9.91726e-05,9.91726e-05
96,26758.3,0.42117,0.91339,0.91643,0.33842,0.82688,0.36287,0.31703,0.62679,1.09253,1.1085,8.50255e-05,8.50255e-05,8.50255e-05
97,27037.4,0.4275,0.9253,0.92965,0.34154,0.82857,0.3664,0.31785,0.62728,1.09093,1.11002,7.08784e-05,7.08784e-05,7.08784e-05
98,27315.2,0.41039,0.92287,0.91137,0.34578,0.8393,0.36495,0.31945,0.63872,1.09684,1.11978,5.67313e-05,5.67313e-05,5.67313e-05
99,27594,0.41719,0.91734,0.92479,0.34584,0.85718,0.36095,0.31568,0.6324,1.08599,1.11661,4.25842e-05,4.25842e-05,4.25842e-05
100,27870.9,0.41864,0.90838,0.91386,0.33968,0.82967,0.35896,0.31348,0.62264,1.08658,1.11025,2.84371e-05,2.84371e-05,2.84371e-05
