epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,17588.5,0.69608,1.16236,1.08568,0.33315,0.88701,0.36156,0.3067,0.71769,1.13949,1.14271,0.00099044,0.00099044,0.00099044
64,17867.4,0.68593,1.13502,1.08734,0.32783,0.8394,0.34563,0.30158,0.68051,1.12687,1.12364,0.000983366,0.000983366,0.000983366
65,18146,0.6958,1.11062,1.07825,0.34,0.88286,0.36292,0.31133,0.71725,1.11148,1.15199,0.000976293,0.000976293,0.000976293
66,18425.1,0.67484,1.09397,1.068,0.3369,0.87977,0.35737,0.30417,0.73796,1.12504,1.17645,0.000969219,0.000969219,0.000969219
67,18704.9,0.68949,1.12203,1.08158,0.34715,0.82379,0.37498,0.31829,0.70047,1.1099,1.13769,0.000962146,0.000962146,0.000962146
68,18983.6,0.66051,1.08678,1.06832,0.33797,0.89212,0.36112,0.30633,0.6631,1.12251,1.1095,0.000955072,0.000955072,0.000955072
69,19262.8,0.66813,1.07409,1.07357,0.34875,0.82688,0.37253,0.31989,0.68394,1.13353,1.14564,0.000947999,0.000947999,0.000947999
70,19542.2,0.66403,1.09468,1.06729,0.34167,0.88749,0.34945,0.29778,0.69334,1.11457,1.1315,0.000940925,0.000940925,0.000940925
71,19822.1,0.6715,1.09515,1.07893,0.34094,0.82225,0.36623,0.31722,0.69151,1.11333,1.13918,0.000933851,0.000933851,0.000933851
72,20101.3,0.66989,1.10754,1.07149,0.34627,0.88749,0.38254,0.32553,0.70918,1.14083,1.16839,0.000926778,0.000926778,0.000926778
73,20380.1,0.67325,1.08894,1.0766,0.3426,0.88749,0.35442,0.3012,0.68777,1.12503,1.13956,0.000919704,0.000919704,0.000919704
74,20659.3,0.66303,1.08485,1.0661,0.36163,0.82175,0.40655,0.35182,0.71013,1.12334,1.14437,0.000912631,0.000912631,0.000912631
75,20938.6,0.67817,1.09136,1.07984,0.33079,0.89057,0.34914,0.30003,0.69482,1.1161,1.14719,0.000905557,0.000905557,0.000905557
76,21217.5,0.67186,1.05597,1.05604,0.33477,0.89212,0.37863,0.32497,0.67216,1.1348,1.13998,0.000898484,0.000898484,0.000898484
77,21496.7,0.65858,1.09356,1.06252,0.33842,0.88624,0.35823,0.30539,0.6958,1.12384,1.15644,0.00089141,0.00089141,0.00089141
78,21775.7,0.67185,1.08845,1.06695,0.34426,0.89212,0.35819,0.30482,0.68792,1.1039,1.13602,0.000884337,0.000884337,0.000884337
79,22054.5,0.65548,1.06365,1.07023,0.34138,0.86027,0.36216,0.30897,0.68156,1.10818,1.13726,0.000877263,0.000877263,0.000877263
80,22333.5,0.64159,1.05114,1.05709,0.34214,0.88903,0.35249,0.30209,0.66348,1.09609,1.12216,0.00087019,0.00087019,0.00087019
81,22613.4,0.64506,1.06785,1.05026,0.33522,0.85718,0.38319,0.33113,0.67396,1.10656,1.14057,0.000863116,0.000863116,0.000863116
82,22892.3,0.63609,1.07509,1.04987,0.35157,0.90236,0.35681,0.30584,0.66787,1.11706,1.12629,0.000856042,0.000856042,0.000856042
83,23171.2,0.65,1.08279,1.05638,0.34111,0.91779,0.3486,0.29987,0.68154,1.11157,1.1383,0.000848969,0.000848969,0.000848969
84,23450.3,0.61851,1.06056,1.03819,0.33871,0.87231,0.34782,0.29695,0.66619,1.11927,1.11946,0.000841895,0.000841895,0.000841895
85,23729.3,0.61729,1.05066,1.03962,0.34788,0.95272,0.35306,0.30156,0.65779,1.10019,1.133,0.000834822,0.000834822,0.000834822
86,24008.1,0.62921,1.06907,1.04954,0.33784,0.88749,0.35409,0.30029,0.67033,1.1192,1.13193,0.000827748,0.000827748,0.000827748
87,24286.9,0.6316,1.0866,1.05367,0.33487,0.88655,0.34867,0.29921,0.69294,1.11716,1.15439,0.000820675,0.000820675,0.000820675
88,24568.3,0.6274,1.07276,1.04583,0.338,0.85564,0.34314,0.29666,0.67304,1.10027,1.11911,0.000813601,0.000813601,0.000813601
89,24848.1,0.64017,1.06849,1.05735,0.34264,0.86788,0.3439,0.29626,0.67603,1.1241,1.14435,0.000806528,0.000806528,0.000806528
90,25129.3,0.6237,1.05011,1.04073,0.34467,0.84175,0.35891,0.31075,0.67516,1.13644,1.12462,0.000799454,0.000799454,0.000799454
91,25408.5,0.61927,1.03745,1.03822,0.34707,0.88106,0.35942,0.31352,0.64761,1.11144,1.08962,0.00079238,0.00079238,0.00079238
92,25687.3,0.63659,1.05326,1.05258,0.34348,0.90794,0.3598,0.30852,0.65034,1.12549,1.0954,0.000785307,0.000785307,0.000785307
93,25968.1,0.64312,1.08394,1.052,0.34192,0.88784,0.34635,0.29588,0.67968,1.10271,1.11245,0.000778233,0.000778233,0.000778233
94,26247.2,0.63594,1.04502,1.04471,0.34283,0.8689,0.33833,0.29012,0.66594,1.12626,1.10537,0.00077116,0.00077116,0.00077116
95,26527.8,0.61431,1.02617,1.03858,0.34337,0.85216,0.34996,0.30391,0.65875,1.13165,1.09784,0.000764086,0.000764086,0.000764086
96,26806.8,0.62561,1.06876,1.05206,0.34647,0.88953,0.34735,0.29968,0.65318,1.12804,1.11112,0.000757013,0.000757013,0.000757013
97,27087.6,0.61875,1.02592,1.0379,0.34506,0.87533,0.33856,0.29245,0.69531,1.1242,1.14867,0.000749939,0.000749939,0.000749939
98,27367,0.60491,1.02543,1.03388,0.35437,0.82534,0.37197,0.3228,0.67377,1.12732,1.13123,0.000742866,0.000742866,0.000742866
99,27645.8,0.61582,1.0486,1.03674,0.3585,0.84235,0.34863,0.29964,0.67375,1.1323,1.14736,0.000735792,0.000735792,0.000735792
100,27925.1,0.59224,1.02417,1.02545,0.35422,0.82225,0.34384,0.30021,0.64499,1.14984,1.10952,0.000728719,0.000728719,0.000728719
101,28203.7,0.61486,1.02011,1.03933,0.34193,0.91308,0.34517,0.29453,0.66928,1.14241,1.12487,0.000721645,0.000721645,0.000721645
102,28482.8,0.61207,1.03026,1.03815,0.34705,0.87977,0.3505,0.30253,0.67472,1.13511,1.12936,0.000714571,0.000714571,0.000714571
103,28761.9,0.61446,1.03196,1.03963,0.34154,0.86531,0.34815,0.30254,0.68782,1.14266,1.13995,0.000707498,0.000707498,0.000707498
104,29040.8,0.60798,1.04347,1.0333,0.34671,0.85736,0.3444,0.29534,0.67113,1.18877,1.11839,0.000700424,0.000700424,0.000700424
105,29320.2,0.61478,1.03357,1.03855,0.33536,0.86469,0.34803,0.29832,0.69592,1.15656,1.15356,0.000693351,0.000693351,0.000693351
106,29599,0.60465,1.03645,1.02937,0.34686,0.86954,0.35063,0.30064,0.67115,1.13808,1.13969,0.000686277,0.000686277,0.000686277
107,29878.2,0.61535,1.05742,1.04345,0.34793,0.88234,0.34937,0.29661,0.66162,1.09791,1.11875,0.000679204,0.000679204,0.000679204
108,30157.1,0.59112,1.11298,1.01404,0.35262,0.87977,0.34271,0.29557,0.69225,1.13476,1.16253,0.00067213,0.00067213,0.00067213
109,30436,0.60389,1.0106,1.03,0.35381,0.86897,0.36226,0.31144,0.68095,1.1774,1.13986,0.000665057,0.000665057,0.000665057
110,30715.4,0.58992,0.9999,1.02126,0.33817,0.86395,0.34098,0.29357,0.66358,1.17153,1.11945,0.000657983,0.000657983,0.000657983
111,30994.6,0.58288,1.03462,1.00926,0.35635,0.85781,0.34933,0.30172,0.66987,1.19785,1.1211,0.000650909,0.000650909,0.000650909
112,31273.4,0.57228,1.01843,1.01186,0.35603,0.86434,0.34649,0.30267,0.65446,1.174,1.12359,0.000643836,0.000643836,0.000643836
113,31552.1,0.58442,1.01469,1.0213,0.34889,0.84484,0.35247,0.30649,0.66917,1.14515,1.13452,0.000636762,0.000636762,0.000636762
114,31831.2,0.57456,0.99984,1.01131,0.34627,0.80527,0.34767,0.3033,0.66456,1.1885,1.12768,0.000629689,0.000629689,0.000629689
115,32110.3,0.57264,1.00448,1.01512,0.35049,0.84292,0.35144,0.29859,0.66949,1.15439,1.125,0.000622615,0.000622615,0.000622615
116,32389,0.55523,0.99341,1.00842,0.34501,0.77343,0.35419,0.30481,0.66179,1.19757,1.13205,0.000615542,0.000615542,0.000615542
117,32668.3,0.5693,1.00783,1.01068,0.35817,0.86742,0.34425,0.29749,0.67557,1.17324,1.12826,0.000608468,0.000608468,0.000608468
118,32947,0.57067,1.0191,1.01073,0.3492,0.86251,0.35298,0.30402,0.6538,1.17156,1.10362,0.000601395,0.000601395,0.000601395
119,33226.3,0.56556,0.97455,1.00635,0.36034,0.86742,0.35665,0.30893,0.6618,1.19467,1.11426,0.000594321,0.000594321,0.000594321
120,33505.4,0.56901,1.01747,1.01358,0.36067,0.84787,0.35706,0.30795,0.67209,1.17541,1.131,0.000587248,0.000587248,0.000587248
121,33784.2,0.57028,1.01188,1.01545,0.36149,0.87205,0.36029,0.3119,0.64732,1.15355,1.11502,0.000580174,0.000580174,0.000580174
122,34062.8,0.57797,1.04403,1.01732,0.35199,0.86125,0.34887,0.30167,0.63343,1.17325,1.10106,0.0005731,0.0005731,0.0005731
123,34342.3,0.58496,0.99095,1.02066,0.35305,0.77497,0.34025,0.29192,0.64721,1.15061,1.12592,0.000566027,0.000566027,0.000566027
124,34621.5,0.5693,1.02106,1.00631,0.34729,0.78935,0.3819,0.33263,0.65543,1.15843,1.13806,0.000558953,0.000558953,0.000558953
125,34900.2,0.57438,1.00363,1.01564,0.35728,0.84638,0.35621,0.30553,0.66955,1.17371,1.14045,0.00055188,0.00055188,0.00055188
126,35179.1,0.55976,1.00107,1.01079,0.34908,0.80331,0.38158,0.33263,0.68042,1.17424,1.13494,0.000544806,0.000544806,0.000544806
127,35458,0.55754,0.98809,1.00893,0.35745,0.81299,0.37941,0.32846,0.67804,1.16675,1.15424,0.000537733,0.000537733,0.000537733
128,35736.8,0.53687,0.98832,0.99384,0.35395,0.84947,0.36037,0.31166,0.65112,1.12546,1.1169,0.000530659,0.000530659,0.000530659
129,36015.8,0.555,0.99605,0.99596,0.35454,0.84947,0.35188,0.30021,0.66729,1.14203,1.14114,0.000523586,0.000523586,0.000523586
130,36294.7,0.55372,0.98168,1.00086,0.34753,0.81299,0.35271,0.30669,0.66468,1.19072,1.14349,0.000516512,0.000516512,0.000516512
131,36573.7,0.55166,0.9849,1.00786,0.35956,0.86244,0.35657,0.30375,0.67812,1.16821,1.15279,0.000509438,0.000509438,0.000509438
132,36852.4,0.55751,0.98549,1.00567,0.34488,0.8575,0.35466,0.30746,0.66275,1.20868,1.13731,0.000502365,0.000502365,0.000502365
133,37131.8,0.55494,0.99459,0.99786,0.35848,0.82465,0.35547,0.30766,0.654,1.23303,1.12767,0.000495291,0.000495291,0.000495291
134,37411.5,0.54185,0.98777,0.99546,0.355,0.81923,0.35614,0.3093,0.6499,1.195,1.10832,0.000488218,0.000488218,0.000488218
135,37690.4,0.54916,0.96655,1.00476,0.35048,0.79148,0.34242,0.29699,0.66508,1.21788,1.12931,0.000481144,0.000481144,0.000481144
136,37969.6,0.54271,0.96124,0.99902,0.3581,0.81325,0.35805,0.31044,0.6742,1.23296,1.14347,0.000474071,0.000474071,0.000474071
137,38248.8,0.52724,0.97169,0.98234,0.34501,0.80419,0.34624,0.29847,0.66911,1.27107,1.13741,0.000466997,0.000466997,0.000466997
138,38530.6,0.54078,0.98411,1.00508,0.35059,0.77595,0.34908,0.29965,0.69438,1.25198,1.16864,0.000459924,0.000459924,0.000459924
139,38810,0.55246,0.98624,1.00105,0.3496,0.83306,0.34684,0.29897,0.68576,1.23361,1.16262,0.00045285,0.00045285,0.00045285
140,39089.3,0.54645,0.96489,0.99621,0.36145,0.86337,0.35817,0.30598,0.6943,1.24456,1.16623,0.000445777,0.000445777,0.000445777
141,39369,0.5374,0.99499,0.9997,0.35649,0.85304,0.34245,0.29681,0.68344,1.25791,1.16677,0.000438703,0.000438703,0.000438703
142,39648,0.53581,0.96565,0.9889,0.35639,0.84658,0.36667,0.31791,0.7008,1.30732,1.17488,0.000431629,0.000431629,0.000431629
143,39927.8,0.53418,0.99265,0.99405,0.34599,0.80032,0.40565,0.35258,0.69464,1.27023,1.16779,0.000424556,0.000424556,0.000424556
144,40207,0.52456,0.95393,0.98305,0.33554,0.78372,0.37491,0.329,0.66746,1.23611,1.14268,0.000417482,0.000417482,0.000417482
145,40486.5,0.53348,0.9755,0.99021,0.34723,0.8533,0.334,0.28788,0.6668,1.23709,1.12256,0.000410409,0.000410409,0.000410409
146,40765.5,0.52415,1.0033,0.9811,0.33397,0.78557,0.36074,0.31723,0.67,1.24107,1.13972,0.000403335,0.000403335,0.000403335
147,41044.5,0.52913,0.947,0.98896,0.34152,0.81279,0.37717,0.32914,0.66589,1.30643,1.14315,0.000396262,0.000396262,0.000396262
148,41323.7,0.53568,0.97652,1.00073,0.33384,0.77784,0.33399,0.29139,0.68551,1.28984,1.17308,0.000389188,0.000389188,0.000389188
149,41602.9,0.52005,0.96869,0.98389,0.34446,0.81756,0.34773,0.30135,0.65889,1.24571,1.1477,0.000382115,0.000382115,0.000382115
150,41882.2,0.50273,0.95047,0.97818,0.35607,0.84178,0.35351,0.3057,0.66342,1.24199,1.14388,0.000375041,0.000375041,0.000375041
151,42161.3,0.53698,0.97655,0.9991,0.34915,0.76819,0.35031,0.30063,0.67378,1.2513,1.15165,0.000367967,0.000367967,0.000367967
152,42440.2,0.53064,0.9748,0.99448,0.35362,0.80162,0.34615,0.30034,0.67882,1.2959,1.16074,0.000360894,0.000360894,0.000360894
153,42719.2,0.51791,0.97054,0.98835,0.34997,0.80632,0.35226,0.30412,0.67358,1.28219,1.16012,0.00035382,0.00035382,0.00035382
154,42998.2,0.51846,0.96222,0.98393,0.34885,0.80161,0.35482,0.30821,0.67475,1.24946,1.15101,0.000346747,0.000346747,0.000346747
155,43277.5,0.51748,0.97267,0.98423,0.35354,0.81089,0.35796,0.31061,0.67258,1.22086,1.14898,0.000339673,0.000339673,0.000339673
156,43556.3,0.5054,0.95456,0.97656,0.35499,0.77441,0.35271,0.30355,0.68549,1.27212,1.15976,0.0003326,0.0003326,0.0003326
157,43835.4,0.5302,0.95684,0.99662,0.35014,0.78058,0.34952,0.30042,0.67623,1.23968,1.14504,0.000325526,0.000325526,0.000325526
158,44114.3,0.49679,0.93241,0.97344,0.34816,0.7775,0.35416,0.30667,0.67809,1.29958,1.14647,0.000318453,0.000318453,0.000318453
159,44393.4,0.51779,0.97256,0.97974,0.35202,0.8313,0.35356,0.3071,0.68422,1.30674,1.15181,0.000311379,0.000311379,0.000311379
